Book of	Isaiah
044:025	That frustrateth the tokens of the liars, and maketh diviners mad; that turneth wise men backward, and maketh their knowledge foolish;
044:026	That confirmeth the word of his servant, and performeth the counsel of his messengers; that saith to Jerusalem, Thou shalt be inhabited; and to the cities of Judah, Ye shall be built, and I will raise up the decayed places thereof:
044:027	That saith to the deep, Be dry, and I will dry up thy rivers:
044:028	That saith of Cyrus, He is my shepherd, and shall perform all my pleasure: even saying to Jerusalem, Thou shalt be built; and to the temple, Thy foundation shall be laid.
045:001	Thus saith the LORD to his anointed, to Cyrus, whose right hand I have holden, to subdue nations before him; and I will loose the loins of kings, to open before him the two leaved gates; and the gates shall not be shut;
045:002	I will go before thee, and make the crooked places straight: I will break in pieces the gates of brass, and cut in sunder the bars of iron:
045:003	And I will give thee the treasures of darkness, and hidden riches of secret places, that thou mayest know that I, the LORD, which call thee by thy name, am the God of Israel.
045:004	For Jacob my servant's sake, and Israel mine elect, I have even called thee by thy name: I have surnamed thee, though thou hast not known me.
045:005	I am the LORD, and there is none else, there is no God beside me: I girded thee, though thou hast not known me:
045:006	That they may know from the rising of the sun, and from the west, that there is none beside me. I am the LORD, and there is none else.
045:007	I form the light, and create darkness: I make peace, and create evil: I the LORD do all these things.
045:008	Drop down, ye heavens, from above, and let the skies pour down righteousness: let the earth open, and let them bring forth salvation, and let righteousness spring up together; I the LORD have created it.
045:009	Woe unto him that striveth with his Maker! Let the potsherd strive with the potsherds of the earth. Shall the clay say to him that fashioneth it, What makest thou? or thy work, He hath no hands?
045:010	Woe unto him that saith unto his father, What begettest thou? or to the woman, What hast thou brought forth?
045:011	Thus saith the LORD, the Holy One of Israel, and his Maker, Ask me of things to come concerning my sons, and concerning the work of my hands command ye me.
045:012	I have made the earth, and created man upon it: I, even my hands, have stretched out the heavens, and all their host have I commanded.
045:013	I have raised him up in righteousness, and I will direct all his ways: he shall build my city, and he shall let go my captives, not for price nor reward, saith the LORD of hosts.
045:014	Thus saith the LORD, The labour of Egypt, and merchandise of Ethiopia and of the Sabeans, men of stature, shall come over unto thee, and they shall be thine: they shall come after thee; in chains they shall come over, and they shall fall down unto thee, they shall make supplication unto thee, saying, Surely God is in thee; and there is none else, there is no God.
045:015	Verily thou art a God that hidest thyself, O God of Israel, the Saviour.
045:016	They shall be ashamed, and also confounded, all of them: they shall go to confusion together that are makers of idols.
045:017	But Israel shall be saved in the LORD with an everlasting salvation: ye shall not be ashamed nor confounded world without end.
045:018	For thus saith the LORD that created the heavens; God himself that formed the earth and made it; he hath established it, he created it not in vain, he formed it to be inhabited: I am the LORD; and there is none else.
045:019	I have not spoken in secret, in a dark place of the earth: I said not unto the seed of Jacob, Seek ye me in vain: I the LORD speak righteousness, I declare things that are right.
045:020	Assemble yourselves and come; draw near together, ye that are escaped of the nations: they have no knowledge that set up the wood of their graven image, and pray unto a god that cannot save.
045:021	Tell ye, and bring them near; yea, let them take counsel together: who hath declared this from ancient time? who hath told it from that time? have not I the LORD? and there is no God else beside me; a just God and a Saviour; there is none beside me.
045:022	Look unto me, and be ye saved, all the ends of the earth: for I am God, and there is none else.
045:023	I have sworn by myself, the word is gone out of my mouth in righteousness, and shall not return, That unto me every knee shall bow, every tongue shall swear.
045:024	Surely, shall one say, in the LORD have I righteousness and strength: even to him shall men come; and all that are incensed against him shall be ashamed.
045:025	In the LORD shall all the seed of Israel be justified, and shall glory.
046:001	Bel boweth down, Nebo stoopeth, their idols were upon the beasts, and upon the cattle: your carriages were heavy loaden; they are a burden to the weary beast.
046:002	They stoop, they bow down together; they could not deliver the burden, but themselves are gone into captivity.
046:003	Hearken unto me, O house of Jacob, and all the remnant of the house of Israel, which are borne by me from the belly, which are carried from the womb:
046:004	And even to your old age I am he; and even to hoar hairs will I carry you: I have made, and I will bear; even I will carry, and will deliver you.
046:005	To whom will ye liken me, and make me equal, and compare me, that we may be like?
046:006	They lavish gold out of the bag, and weigh silver in the balance, and hire a goldsmith; and he maketh it a god: they fall down, yea, they worship.
046:007	They bear him upon the shoulder, they carry him, and set him in his place, and he standeth; from his place shall he not remove: yea, one shall cry unto him, yet can he not answer, nor save him out of his trouble.
046:008	Remember this, and shew yourselves men: bring it again to mind, O ye transgressors.
